base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,non_consensus_strategy,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,ALWAYS_COOPERATE,DISCRIMINATE,PARADOXICALLY_DISC,ALWAYS_DEFECT,EmotionProfile.COMPETITIVE,EmotionProfile.COOPERATIVE
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.962,1.0,0.4,0.0,0.0,0.0,1.0,0.0,1.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.414,1.0,0.4,0.025,0.0,0.05,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.047,1.0,0.4,0.05,0.0,0.1,0.85,0.85,0.15
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.826,1.0,0.4,0.0,0.1,0.0,0.9,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.638,1.0,0.4,0.025,0.0,0.0,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.906,1.0,0.4,0.05,0.0,0.0,0.95,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.427,1.0,0.4,0.0,0.025,0.05,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.863,1.0,0.4,0.05,0.225,0.0,0.725,0.28,0.72
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.055,1.0,0.4,0.0,0.0,0.075,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.988,1.0,0.4,0.05,0.05,0.0,0.9,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.605,1.0,0.4,0.0,0.0,0.0,1.0,1.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.968,1.0,0.4,0.05,0.25,0.025,0.675,0.72,0.28
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.528,1.0,0.4,0.025,0.025,0.25,0.7,0.7,0.3
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.089,1.0,0.4,0.0,0.0,0.1,0.9,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.037,1.0,0.4,0.05,0.0,0.0,0.95,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.22,0.133,0.5,0.0,0.025,0.025,0.95,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.853,0.155,0.55,0.025,0.0,0.075,0.9,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.911,0.123,0.45,0.025,0.0,0.0,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.698,0.15,0.35,0.025,0.05,0.0,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.735,0.105,0.425,0.0,0.0,0.075,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.975,0.125,0.3,0.0,0.025,0.0,0.975,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.822,0.143,0.425,0.05,0.025,0.0,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.413,0.14,0.425,0.025,0.0,0.0,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.772,0.128,0.625,0.0,0.025,0.0,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.301,0.135,0.6,0.125,0.0,0.2,0.675,0.33,0.68
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.837,0.138,0.525,0.0,0.125,0.0,0.875,0.88,0.12
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.69,0.138,0.3,0.05,0.05,0.05,0.85,0.12,0.88
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.905,0.105,0.35,0.025,0.0,0.05,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.65,0.113,0.4,0.025,0.0,0.0,0.975,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.99,0.113,0.25,0.05,0.0,0.025,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.184,0.138,0.325,0.0,0.025,0.175,0.8,0.8,0.2
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.045,0.11,0.525,0.0,0.025,0.05,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.364,0.12,0.425,0.0,0.075,0.075,0.85,0.15,0.85
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.642,0.1,0.425,0.0,0.0,0.05,0.95,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.334,0.102,0.5,0.05,0.0,0.025,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.959,0.148,0.325,0.0,0.025,0.075,0.9,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.299,0.145,0.525,0.0,0.0,0.05,0.95,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.921,0.128,0.45,0.025,0.1,0.0,0.875,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.947,0.13,0.6,0.0,0.0,0.025,0.975,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.93,0.128,0.375,0.05,0.05,0.0,0.9,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.79,0.113,0.425,0.0,0.0,0.05,0.95,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.92,0.143,0.375,0.05,0.0,0.075,0.875,0.12,0.88
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.146,0.13,0.4,0.05,0.0,0.0,0.95,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.487,0.102,0.55,0.0,0.125,0.025,0.85,0.85,0.15
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.946,0.098,0.45,0.025,0.1,0.05,0.825,0.82,0.17
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.677,0.11,0.4,0.025,0.0,0.0,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.151,0.12,0.45,0.025,0.0,0.075,0.9,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.23,0.12,0.575,0.025,0.0,0.05,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.263,0.143,0.45,0.05,0.025,0.05,0.875,0.88,0.12
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.972,0.125,0.35,0.05,0.05,0.0,0.9,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.429,0.153,0.55,0.0,0.0,0.025,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.067,0.14,0.525,0.0,0.025,0.0,0.975,0.0,1.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.011,0.12,0.45,0.0,0.0,0.0,1.0,0.0,1.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.083,0.125,0.325,0.025,0.225,0.175,0.575,0.25,0.75
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.704,0.133,0.45,0.0,0.0,0.1,0.9,1.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.67,0.113,0.4,0.025,0.0,0.025,0.95,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.794,0.138,0.425,0.0,0.025,0.025,0.95,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.326,0.15,0.475,0.05,0.05,0.0,0.9,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.859,0.103,0.425,0.025,0.25,0.0,0.725,0.25,0.75
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.272,0.142,0.475,0.0,0.075,0.0,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.988,0.142,0.325,0.025,0.0,0.0,0.975,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.135,0.13,0.475,0.0,0.025,0.0,0.975,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.677,0.133,0.45,0.025,0.05,0.025,0.9,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.232,0.12,0.525,0.05,0.0,0.025,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.807,0.133,0.425,0.0,0.0,0.025,0.975,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.918,0.145,0.375,0.0,0.1,0.05,0.85,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.255,0.1,0.475,0.025,0.025,0.0,0.95,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.488,0.128,0.4,0.0,0.025,0.05,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.819,0.123,0.4,0.0,0.025,0.0,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.54,0.12,0.45,0.05,0.05,0.0,0.9,0.88,0.12
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.69,0.143,0.625,0.0,0.25,0.0,0.75,1.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.578,0.158,0.625,0.05,0.0,0.1,0.85,0.15,0.85
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.552,0.13,0.475,0.0,0.05,0.05,0.9,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.023,0.133,0.475,0.0,0.025,0.025,0.95,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.948,0.125,0.25,0.075,0.025,0.0,0.9,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.185,0.117,0.425,0.025,0.0,0.0,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.121,0.135,0.4,0.025,0.05,0.0,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.334,0.105,0.325,0.0,0.05,0.025,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.041,0.113,0.375,0.0,0.1,0.025,0.875,0.12,0.88
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.714,0.12,0.3,0.025,0.0,0.05,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.787,0.135,0.575,0.025,0.0,0.125,0.85,0.15,0.85
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.193,0.128,0.675,0.025,0.0,0.05,0.925,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.872,0.125,0.55,0.0,0.0,0.05,0.95,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.125,0.138,0.425,0.025,0.0,0.0,0.975,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.306,0.148,0.6,0.0,0.025,0.0,0.975,0.03,0.97
